118,https://pressbooks.online.ucf.edu/idl6543/,http://schema.org,Book,Creating Online Learning Experiences,en,https://pressbooks.online.ucf.edu/app/uploads/sites/118/2019/11/Cover-Print-All-1.jpg,Person,Matt Crosslin,CreativeWork,https://creativecommons.org/licenses/by-nc/4.0/,CC BY-NC (Attribution NonCommercial)
119,https://pressbooks.online.ucf.edu/environmentalart/,http://schema.org,Book,Environmental Art,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,camilobaquero,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
120,https://pressbooks.online.ucf.edu/volsunga/,http://schema.org,Book,Völsunga Saga,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,John Raible,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
124,https://pressbooks.online.ucf.edu/ancientpoliticalphilosophy/,http://schema.org,Book,Political Philosophy,en,http://pressbooks.com/app/uploads/sites/121911/2019/11/63C0E96D-6038-4AFE-BEFE-C49D4562A3A7.png,Person,WIKI KNIGHTS,CreativeWork,https://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA (Attribution NonCommercial ShareAlike)
125,https://pressbooks.online.ucf.edu/enl4303/,http://schema.org,Book,British Authors,en,https://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,Kathleen Hohenleitner,CreativeWork,https://creativecommons.org/publicdomain/mark/1.0/,Public Domain
126,https://pressbooks.online.ucf.edu/humannatureerinmiller/,http://schema.org,Book,Human Nature: The Environment and its' Connections to Humans,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,erinmill,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
128,https://pressbooks.online.ucf.edu/envirohumphotovoice/,http://schema.org,Book,Environmental Humanities PhotoVoice Project,en,https://pressbooks.online.ucf.edu/app/uploads/sites/128/2019/12/Screen-Shot-2019-12-06-at-8.51.22-PM.png,Person,The Students of HUM2020,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
129,https://pressbooks.online.ucf.edu/latamlatxphotovoice/,http://schema.org,Book,Latin American and LatinX Photovoice Project,en,https://pressbooks.online.ucf.edu/app/uploads/sites/129/2019/12/Screen-Shot-2019-12-06-at-8.28.34-PM.png,Person,The Students of HUM3460,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
130,https://pressbooks.online.ucf.edu/sophiaherreraculturalexpression/,http://schema.org,Book,Orlando Art,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,sherrera7,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
131,https://pressbooks.online.ucf.edu/finalphotovoice/,http://schema.org,Book,Final PhotoVoice Project,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,romaarmenia,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
132,https://pressbooks.online.ucf.edu/finalphotovoice2/,http://schema.org,Book,photo voice final,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,tishalyabeths,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
133,https://pressbooks.online.ucf.edu/photovoicefinalproject2020/,http://schema.org,Book,PhotoVoice Final Project,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,dylanwrodrigues,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
134,https://pressbooks.online.ucf.edu/photovoicefinalproject/,http://schema.org,Book,PhotoVoice Final Project,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,dylanwrodrigues,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
137,https://pressbooks.online.ucf.edu/phy2048tjb/,http://schema.org,Book,General Physics Using Calculus I,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
141,https://pressbooks.online.ucf.edu/introphilethics/,http://schema.org,Book,Introduction to Philosophy: Ethics,en,http://pressbooks.online.ucf.edu/app/uploads/sites/141/2019/12/Rebus-Digital-Cover-Ethics.jpg,Person,Frank Aragbonfoh Abumere,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
144,https://pressbooks.online.ucf.edu/djphi2010h/,http://schema.org,Book,Introduction to Philosophy,en,https://pressbooks.online.ucf.edu/app/uploads/sites/144/2020/01/filozof_heykelleri-759x500-1.jpg,Person,Matthew Van Cleave,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
145,https://pressbooks.online.ucf.edu/postcolonialtheory/,http://schema.org,Book,Postcolonial Theory,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,Karina Cespedes,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
146,https://pressbooks.online.ucf.edu/utopiadystopia/,http://schema.org,Book,Utopia/Dystopia,en,http://pressbooks.online.ucf.edu/app/uploads/sites/146/2020/01/Copy-of-Ancient-Political-Philosophy..png,Person,WIKI KNIGHTS,CreativeWork,https://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA (Attribution NonCommercial ShareAlike)
153,https://pressbooks.online.ucf.edu/eme6613ah/,http://schema.org,Book,Instructional System Design ,en,https://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,Atsusi Hirumi,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
154,https://pressbooks.online.ucf.edu/ddutkaytest/,http://schema.org,Book,Test book,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,,,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
155,https://pressbooks.online.ucf.edu/je612529/,http://schema.org,Book,POS,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,,,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
156,https://pressbooks.online.ucf.edu/kaylc0825/,http://schema.org,Book,physics,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,,,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
159,https://pressbooks.online.ucf.edu/constitutionallaw/,http://schema.org,Book,Constitutional Law,en,http://pressbooks.online.ucf.edu/app/uploads/sites/159/2020/02/Copy-of-Copy-of-Ancient-Political-Philosophy.-1.png,Person,WIKI KNIGHTS,CreativeWork,https://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA (Attribution NonCommercial ShareAlike)
160,https://pressbooks.online.ucf.edu/pos2041pages/,http://schema.org,Book,POS2041: Instructional Pages,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,Bruce Wilson,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
161,https://pressbooks.online.ucf.edu/introtophilosophy/,http://schema.org,Book,Intro To Philosophy,en,http://pressbooks.online.ucf.edu/app/uploads/sites/161/2020/02/Copy-of-Copy-of-Copy-of-Ancient-Political-Philosophy..png,Person,WIKI KNIGHTS,CreativeWork,https://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA (Attribution NonCommercial ShareAlike)
163,https://pressbooks.online.ucf.edu/osuniversityphysics3/,http://schema.org,Book,University Physics Volume 3,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,John Raible,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
3,https://granite.pressbooks.pub/comm601/,http://schema.org,Book,Trends in Digital &amp; Social Media (V13),en,https://granite.pressbooks.pub/app/uploads/sites/3/2019/02/CoverImage-COMM601.jpg,Person,by Steve Covello - Granite State College (USNH),CreativeWork,https://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA (Attribution NonCommercial ShareAlike)
4,https://granite.pressbooks.pub/principlesmanagement/,http://schema.org,Book,Principles of Management,en,https://granite.pressbooks.pub/app/uploads/sites/4/2017/12/CoverImage-PrinMGMT.jpg,,,CreativeWork,https://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA (Attribution NonCommercial ShareAlike)
